Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals,
1890,63.472602,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1891,63.472734,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1892,63.57247005,0.09973605,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1893,63.57259965,0.0001296,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1894,63.57273175,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1895,63.67247415,0.0997424,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1896,63.6726042,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1897,63.6727362,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1898,63.7724742,0.099738,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1899,63.7726043,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1900,63.7727364,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1901,63.87247045,0.09973405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1902,63.87260055,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1903,63.87273205,0.0001315,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1904,63.97247255,0.0997405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1905,63.9726026,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1906,63.9727346,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1907,64.07247655,0.09974195,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1908,64.0726066,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1909,64.0727386,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1910,64.1724767,0.0997381,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1911,64.1726068,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1912,64.1727388,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1913,64.2724788,0.09974,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1914,64.27260885,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1915,64.27274085,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1916,64.372475,0.09973415,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1917,64.372605,0.00013,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1918,64.3727371,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1919,64.4724751,0.099738,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1920,64.4726052,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1921,64.4727372,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1922,64.5724811,0.0997439,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
